Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1300428396493758464,LAW &amp; ORDER!,Donald J. Trump,realDonaldTrump,2020-08-31T13:41:05.000Z,Mon Aug 31 13:41:05 +0000 2020,95360,18932,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1300428128309907457,"The Radical Left Mayors &amp;  Governors of Cities where this crazy violence is taking place have lost control of their “Movement”. It wasn’t supposed to be like this, but the Anarchists &amp; Agitators got carried away and don’t listen anymore - even forced Slow Joe out of basement!",Donald J. Trump,realDonaldTrump,2020-08-31T13:40:01.000Z,Mon Aug 31 13:40:01 +0000 2020,37329,10481,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1300426765496725504,"I’ve been getting really good polls, some over 50%, except for one Fake Poll done by @ABC NEWS, which gives NO INFORMATION about the sample, R or D, or anything else. They did this last Election, with one week to go, down 12 points, and I won. They are disgusting Fake News!",Donald J. Trump,realDonaldTrump,2020-08-31T13:34:36.000Z,Mon Aug 31 13:34:36 +0000 2020,39646,9018,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1300421406849671168,"Portland is a mess, and it has been for many years. If this joke of a mayor doesn’t clean it up, we will go in and do it for them!",Donald J. Trump,realDonaldTrump,2020-08-31T13:13:18.000Z,Mon Aug 31 13:13:18 +0000 2020,92469,17704,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1300420725837266944,"If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now. Also, there would have been great death and injury. I want to thank Law Enforcement and the National Guard. I will see you on Tuesday!",Donald J. Trump,realDonaldTrump,2020-08-31T13:10:36.000Z,Mon Aug 31 13:10:36 +0000 2020,68197,15033,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1300267963254222854,"Just had a wonderful conversation with my friend, Prime Minister @AbeShinzo of Japan, who will be leaving office soon. Shinzo will soon be recognized as the greatest Prime Minister in the history of Japan, whose relationship with the USA is the best it has ever been. Special man!",Donald J. Trump,realDonaldTrump,2020-08-31T03:03:34.000Z,Mon Aug 31 03:03:34 +0000 2020,178543,41780,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1300261079071830019,"When is Slow Joe Biden going to criticize the Anarchists, Thugs &amp; Agitators in ANTIFA? When is he going to suggest bringing up the National Guard in BADLY RUN &amp; Crime Infested Democrat Cities &amp; States? Remember, he can’t lose the Crazy Bernie Super Liberal vote!",Donald J. Trump,realDonaldTrump,2020-08-31T02:36:13.000Z,Mon Aug 31 02:36:13 +0000 2020,124102,29317,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1300258464170758144,"....His problem is interesting. He must always be weak on CRIME because of the Bernie Sanders Radical Left voter. If he loses them, like Crooked Hillary did, he is “toast”, and many will vote for me because of TRADE (Bernie was good on trade). Joe MUST always be weak on crime!",Donald J. Trump,realDonaldTrump,2020-08-31T02:25:50.000Z,Mon Aug 31 02:25:50 +0000 2020,61854,13570,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1300258463298224129,"Joe Biden is coming out of the basement earlier than his hoped for ten days because his people told him he has no choice, his poll numbers are PLUNGING! Going to Pittsburgh, where I have helped industry to a record last year, &amp; then back to his  basement for an extended period...",Donald J. Trump,realDonaldTrump,2020-08-31T02:25:49.000Z,Mon Aug 31 02:25:49 +0000 2020,101933,22541,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1300241522244362242,RT @realDonaldTrump : LAW &amp; ORDER!!!,Donald J. Trump,realDonaldTrump,2020-08-31T01:18:30.000Z,Mon Aug 31 01:18:30 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1300241347127980034,RT @realDonaldTrump : The only way you will stop the violence in the high crime Democrat run cities is through strength!,Donald J. Trump,realDonaldTrump,2020-08-31T01:17:49.000Z,Mon Aug 31 01:17:49 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1300195730527784960,"Rushing him out of basement after seeing some very disturbing numbers. Don’t worry, he’ll go back to basement soon! https://t.co/CEMq5xowQt",Donald J. Trump,realDonaldTrump,2020-08-30T22:16:33.000Z,Sun Aug 30 22:16:33 +0000 2020,79776,20878,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/daveweigel/status/1300171791030276097 ,0,0,,,,,
